,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,0,0,0,1,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Blank,Blank,Blank,Sample,Sample,Sample,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,5,6,7,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,Average,Average,Stdev,Stdev
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Bacto_Peptone_Media_Blank_1_Y-B1_1_3944,Bacto_Peptone_Media_Blank_2_Y-B2_1_3945,Bacto_Peptone_Media_Blank_3_Y-B3_1_3946,Pd_001srf_1_Y-D5_1_3852,Pd_001srf_2_Y-D6_1_3859,Pd_001srf_3_Y-D7_1_3866,0,1,0,1
0,0.519,60.05606,Unknown,[M+CH3OH+H]+,null,0.14,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,0,0,0,null,null,null,null,null,null,null,2047.28,Bacto_Peptone_Media_Blank_1_Y-B1_1_3944,60.05606:3140 61.06072:0 62.06539:0,null,34839,30741,24462,0,0,0,30316.87728,0,4310.138754,0
1,0.502,61.00723,Unknown,[M+Li]+,null,0.93,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,1,0,0,null,null,null,null,null,null,null,3235.87,Bacto_Peptone_Media_Blank_3_Y-B3_1_3946,61.00723:11364 62.01190:0 63.01657:0,null,92113,86420,89488,37108,48040,43544,88400.67439,38617.42953,2991.111861,5655.356802
2,13.669,61.00728,Unknown,[M+H]+,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,2,0,0,null,null,null,null,null,null,null,6010.21,Bacto_Peptone_Media_Blank_4_Y-B4_1_3947,61.00728:9978 62.01195:0 63.01662:0,null,174284,160404,163923,134822,154108,145112,168323.3414,153448.6312,7257.873663,9887.464038
3,12.223,62.9291,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,3,0,0,null,null,null,null,null,null,null,1178.06,Bacto_Peptone_Media_Blank_1_Y-B1_1_3944,62.92910:1740 63.93376:0 64.93843:0,null,24178,2336,1730,5603,8277,0,12035.60492,4964.422521,11683.87261,5461.367602
4,12.421,62.9293,Unknown,[M+H]+,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,4,0,0,null,null,null,null,null,null,null,1829.88,Pd_001srf_1_Y-D5_1_3852,62.92930:1682 63.93397:0 64.93863:0,null,19743,28322,0,47937,3159,5630,13050.08116,9824.098638,13264.33243,10125.53232
